gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4189325030													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1571687311	OBS1571687311		obsr1809937		5													PRESENT																												2022	11	29																Kazakhstan		Batys Qazaqstan oblysy			Stele, Oral													51.18965	51.380627	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4187428144													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1557370820	OBS1557370820		obsr1057125		1													PRESENT																												2018	04	07																Kazakhstan		Ongtüstik Qazaqstan oblysy			Home													42.34958	69.63208	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4187213812													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1454979664	OBS1454979664		obsr923358		3													PRESENT																												2022	06	08																Kazakhstan		Almaty oblysy			Ile Alatau NP--Big Almaty Lake (IBA KZ098)													43.052567	76.98502	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4186851460													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1328011858	OBS1328011858		obsr983633		5													PRESENT																												2022	01	27																Kazakhstan		Atyrau oblysy			Atyrau Yard													47.101337	51.91241	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4186717831													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1330207133	OBS1330207133		obsr983633		2													PRESENT																												2022	01	30																Kazakhstan		Atyrau oblysy			Atyrau--Ural River													47.105537	51.918896	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4185194147													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1441222097	OBS1441222097		obsr1813968		6													PRESENT																												2022	05	23																Kazakhstan		Almaty			Ile River Delta--Zheltorangy Poplars; (IBA KZ094)													45.052	75.26894	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4184267663													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1554399934	OBS1554399934		obsr983633		3													PRESENT																												2022	11	04																Kazakhstan		Atyrau oblysy			Atyrau--Ural River													47.105537	51.918896	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4184245032													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1580214739	OBS1580214739		obsr983633		1													PRESENT																												2022	12	12																Kazakhstan		Atyrau oblysy			Atyrau Yard													47.101337	51.91241	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4184066769													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1514480300	OBS1514480300		obsr1873897		1													PRESENT																												2022	09	08																Kazakhstan		Almaty			Karatal river NE off the Taldykorgan													45.02538	78.4018	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4182530502													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1450937307	OBS1450937307		obsr600180		1													PRESENT																												2022	06	04																Kazakhstan		Almaty			Almaty Province--River Shilik													43.485893	78.38815	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4181150919													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1437314636	OBS1437314636		obsr750968		2													PRESENT																												2022	05	21																Kazakhstan		Almaty			Trail Between Two Streams(43.459, 78.328)													43.45936	78.32846	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
